c,c_list_length,length_mismatches,non-monotonic,internal_zeros,last_exp_too_large,b_attempts,a_attempts,smaller_rejects,PF-slope
5,3,1,0,0,0,1,0,0,2
6,3,1,0,0,0,1,0,0,3
7,4,1,0,0,0,1,0,0,3
8,4,1,0,0,0,1,0,0,6
9,4,0,0,0,1,1,0,0,6
10,4,0,1,0,0,2,1,1,6
11,5,1,0,0,0,1,0,0,6
12,5,1,0,0,0,1,0,0,8
13,6,1,0,0,0,1,0,0,8
14,6,1,0,0,0,1,0,0,9
15,6,1,0,0,0,2,1,0,8
16,6,0,0,0,0,1,1,1,12
17,7,1,0,0,0,1,0,0,12
18,7,1,0,0,0,1,0,0,13
19,8,1,0,0,0,1,0,0,13
20,8,1,0,0,0,1,0,0,14
21,8,1,0,1,0,2,0,0,14
22,8,1,0,2,0,3,0,0,15
23,9,1,0,3,0,4,0,0,15
24,9,1,0,4,0,5,0,0,18
25,9,1,4,1,0,6,0,0,16
26,9,1,4,2,0,7,0,0,17
27,9,1,2,5,0,8,0,0,17
28,9,1,1,7,0,9,0,0,19
29,10,1,1,8,0,10,0,0,19
30,10,1,1,9,0,11,0,0,19
31,11,1,1,10,0,12,0,0,19
32,11,1,0,12,0,13,0,0,24
33,11,1,1,12,0,14,0,0,24
34,11,0,1,7,0,14,6,1,25
35,11,0,0,8,0,15,7,1,24
36,11,0,0,9,0,12,3,1,26
37,12,0,0,10,0,13,3,1,26
38,12,0,0,11,0,14,3,3,27
39,12,0,4,5,0,17,8,3,27
40,12,0,0,6,0,13,7,1,29
41,13,0,0,7,0,14,7,1,29
42,13,0,0,8,0,14,6,1,30
43,14,0,0,9,0,15,6,1,30
44,14,0,0,9,0,14,5,1,32
45,14,0,0,10,0,13,3,1,31
46,14,0,1,10,0,14,3,1,32
47,15,0,1,11,0,15,3,1,32
48,15,0,0,13,0,14,1,1,36
49,15,0,15,3,0,19,1,7,36
50,15,0,3,12,0,16,1,1,35
51,15,0,2,9,0,15,4,1,35
52,15,0,8,5,0,19,6,5,37
53,16,0,8,6,0,20,6,5,37
54,16,0,2,7,0,14,5,1,38
55,16,0,3,2,0,15,10,1,37
56,16,0,0,4,0,14,10,1,40
57,16,0,0,5,0,15,10,1,40
58,16,0,0,6,0,14,8,1,41
59,17,0,0,7,0,15,8,1,41
60,17,0,0,8,0,14,6,1,42
61,18,0,0,9,0,15,6,1,42
62,18,0,0,10,0,14,4,1,43
63,18,0,3,8,0,15,4,1,43
64,18,0,1,11,0,13,1,1,49
65,18,0,8,12,0,21,1,11,48
66,18,0,0,14,0,15,1,3,49
67,19,0,0,15,0,16,1,3,49
68,19,0,0,4,0,12,8,1,51
69,19,0,0,5,0,13,8,1,51
70,19,0,0,4,0,14,10,3,51
71,20,0,0,5,0,15,10,3,51
72,20,0,0,6,0,12,6,1,54
73,21,0,0,7,0,13,6,1,54
74,21,0,0,8,0,14,6,3,55
75,21,0,2,7,0,13,4,1,53
76,21,0,3,7,0,12,2,1,55
77,21,0,3,8,0,13,2,1,55
78,21,0,0,9,0,14,5,3,56
79,22,0,0,10,0,15,5,3,56
80,22,0,3,8,0,14,3,1,59
81,22,0,0,12,0,15,3,1,59
82,22,0,1,12,0,14,1,1,60
83,23,0,1,13,0,15,1,1,60
84,23,0,3,12,0,16,1,3,62
85,23,0,1,6,0,15,8,1,61
86,23,0,1,7,0,14,6,1,62
87,23,0,1,8,0,15,6,1,62
88,23,0,0,9,0,14,5,1,65
89,24,0,0,10,0,15,5,1,65
90,24,0,1,10,0,14,3,1,65
91,24,0,3,3,0,15,9,1,65
92,24,0,1,6,0,15,8,1,67
93,24,0,1,7,0,16,8,1,67
94,24,0,0,8,0,14,6,1,68
95,24,0,0,9,0,15,6,1,67
96,24,0,0,10,0,14,4,1,72
97,25,0,0,11,0,15,4,1,72
98,25,0,14,2,0,18,2,7,73
99,25,0,16,1,0,19,2,7,73
100,25,0,0,14,0,15,1,1,73
101,26,0,0,15,0,16,1,1,73
102,26,0,1,9,0,14,4,1,74
